0x0000	pl#
0x00ac	bt_negateresult
0x00ad	bt_registeraction
0x00ae	bt_registerbehavior
0x00af	bt_registerbehaviortotree
0x00b0	bt_registerprefabtaskids
0x00b1	bt_registertaskargs
0x00b2	bt_registertree
0x00b3	bt_setregistrar
0x00b4	bt_terminateprevrunningaction
0x00b5	bt_tick
0x00b6	btgoalheight
0x00b7	btgoalradius
0x00b8	buildpathextradata
0x00b9	bullet_hitshield
0x00ba	bullethit
0x00bb	bulletsinclip
0x00bc	bulletwhizby
0x00bd	burstcount
0x00be	busebackwardstrafespace
0x00bf	call_vote
0x00c0	callsign
0x00c1	camo
0x00c2	canacquirenearbytacvisenemies
0x00c3	cancel_location
0x00c4	canclimbladders
0x00c5	candrop
0x00c6	capsule_halfheight
0x00c7	capsule_midpoint_height
0x00c8	capsule_radius
0x00c9	cautiouslookaheaddist
0x00ca	cautiousnavigation
0x00cb	chainfallback
0x00cc	chainnode
0x00cd	changearchetype
0x00ce	characterid
0x00cf	chest
0x00d0	civilian
0x00d1	civiliannameplate
0x00d2	clantag
0x00d3	classname
0x00d4	clipdistance
0x00d5	clipsize
0x00d6	code_classname
0x00d7	code_damageradius
0x00d8	code_move
0x00d9	code_move_slide
0x00da	codecallback_agentadded
0x00db	codecallback_agentdamaged
0x00dc	codecallback_agentfinishweaponchange
0x00dd	codecallback_agentimpaled
0x00de	codecallback_agentkilled
0x00df	codecallback_getprojectilespeedscale
0x00e0	codecallback_hostmigration
0x00e1	codecallback_leaderdialog
0x00e2	codecallback_omnvarschanged
0x00e3	codecallback_playeractive
0x00e4	codecallback_playerconnect
0x00e5	codecallback_playerdamage
0x00e6	codecallback_playerdisconnect
0x00e7	codecallback_playerfinishweaponchange
0x00e8	codecallback_playerimpaled
0x00e9	codecallback_playerkilled
0x00ea	codecallback_playerlaststand
0x00eb	codecallback_playermigrated
0x00ec	codecallback_playerspawned
0x00ed	codecallback_spawnpointcritscore
0x00ee	codecallback_spawnpointscore
0x00ef	codecallback_spawnpointsprecalc
0x00f0	codecallback_startgametype
0x00f1	codecallback_vehicledamage
0x00f2	color
0x00f3	color_blind_toggled
0x00f4	combat
0x00f5	combatmode
0x00f6	compositemodel
0x00f7	confirm_location
0x00f8	consecutiveKills
0x00f9	console
0x00fa	constrained
0x00fb	contact
0x00fc	convergencetime
0x00fd	count
0x00fe	cover
0x00ff	cover_approach
0x0100	coverexposetype
0x0101	covernode
0x0102	coversearchinterval
0x0103	coversearchintervalafterfailure
0x0104	coverselectoroverride
0x0105	coverstarttime
0x0106	coverstate
0x0107	createstruct
0x0108	criticalbulletdamagedist
0x0109	crouch
0x010a	croucharrivaltype
0x010b	crouchblendratio
0x010c	current
0x010d	currentpose
0x010e	currentprimaryweapon
0x010f	currentweapon
0x0110	cursorhint
0x0111	custom_attach_00
0x0112	custom_attach_01
0x0113	custom_attach_02
0x0114	custom_attach_03
0x0115	custom_attach_04
0x0116	custom_attach_05
0x0117	custom_attach_06
0x0118	custom_attach_07
0x0119	custom_attach_08
0x011a	custom_attach_09
0x011b	custom_attach_10
0x011c	custom_attach_11
0x011d	custom_attach_12
0x011e	custom_attach_13
0x011f	custom_attach_14
0x0120	custom_attach_15
0x0121	damage
0x0122	damage_notdone
0x0123	damagedir
0x0124	damagelocation
0x0125	damagemod
0x0126	damagemultiplier
0x0127	damageradius
0x0128	damageshield
0x0129	damagetaken
0x012a	damageweapon
0x012b	damageyaw
0x012c	dangerreactduration
0x012d	dead
0x012e	death
0x012f	death_timer_length
0x0130	deathinvulnerabletime
0x0131	deathplant
0x0132	deaths
0x0133	deathshield
0x0134	defaultcoverselector
0x0135	delayeddeath
0x0136	deployedlmgnode
0x0137	desiredangle
0x0138	desiredstance
0x0139	destructible_type
0x013a	detonate
0x013b	diequietly
0x013c	diffusefraction
0x013d	direct
0x013e	direction
0x013f	disableautolookat
0x0140	disabledeathorient
0x0141	disablepistol
0x0142	disableplayeradsloscheck
0x0143	disablereload
0x0144	disablereloadwhilemoving
0x0145	disablerunngun
0x0146	disablesniperbehaviors
0x0147	dlight
0x0148	dmg
0x0149	doavoidanceblocking
0x014a	dodamagetoall
0x014b	dodangerreact
0x014c	doffar
0x014d	dofnear
0x014e	dog
0x014f	doghandler
0x0150	doingambush
0x0151	done
0x0152	dontattackme
0x0153	dontavoidplayer
0x0154	dontevershoot
0x0155	dontshootwhilemoving
0x0156	dosharpturnspeedscaling
0x0157	down
0x0158	downaimlimit
0x0159	drawoncompass
0x015a	droppedlmg
0x015b	dropweapon
0x015c	eftarc
0x015d	empty
0x015e	empty_offhand
0x015f	enable
0x0160	enablehudlighting
0x0161	enableshadows
0x0162	end_firing
0x0163	end_firing_left
0x0164	end_script
0x0165	enemy
0x0166	enemy_sighted
0x0167	enemy_sighted_lost
0x0168	enemy_visible
0x0169	enemyselector
0x016a	engagemaxdist
0x016b	engagemaxfalloffdist
0x016c	engagemindist
0x016d	engageminfalloffdist
0x016e	entity
0x016f	entity_used
0x0170	equip_deploy_failed
0x0171	equip_deploy_succeeded
0x0172	equippedweapons
0x0173	exclusive
0x0174	exclusiveinventory
0x0175	explode
0x0176	exposedduration
0x0177	extra
0x0178	extrascore0
0x0179	extrascore1
0x017a	extrascore2
0x017b	extrascore3
0x017c	extravarindex
0x017d	face_angle
0x017e	face_angle_3d
0x017f	face_angle_abs
0x0180	face_angle_rel
0x0181	face_current
0x0182	face_current_angles
0x0183	face_default
0x0184	face_direction
0x0185	face_enemy
0x0186	face_enemy_or_motion
0x0187	face_goal
0x0188	face_motion
0x0189	face_point
0x018a	facemotion
0x018b	failed
0x018c	falling
0x018d	falloff
0x018e	falloffstart
0x018f	fast_radar
0x0190	favoriteenemy
0x0191	finalaccuracy
0x0192	finalangles
0x0193	firetime
0x0194	first_person
0x0195	fixednode
0x0196	fixednodesaferadius
0x0197	flags
0x0198	flash
0x0199	flashbang
0x019a	follow
0x019b	followmax
0x019c	followmin
0x019d	font
0x019e	fontscale
0x019f	footstepdetectdist
0x01a0	footstepdetectdistsprint
0x01a1	footstepdetectdistwalk
0x01a2	forcenextpathfindimmediate
0x01a3	forceragdollimmediate
0x01a4	forcesidearm
0x01a5	forcespectatorclient
0x01a6	forcestrafe
0x01a7	forcestrafefacingpos
0x01a8	foreground
0x01a9	forward
0x01aa	fov
0x01ab	fovcosine
0x01ac	fovcosinebusy
0x01ad	fovcosineperiph
0x01ae	fovcosineperiphmaxdistsq
0x01af	fovcosinez
0x01b0	fovforward
0x01b1	fovground
0x01b2	fraction
0x01b3	frag
0x01b4	frameduration
0x01b5	free
0x01b6	free_expendable
0x01b7	freecamera
0x01b8	freelook
0x01b9	front_left
0x01ba	front_right
0x01bb	frontlinedir
0x01bc	frontlineenabled
0x01bd	frontlinepos
0x01be	frontlineused
0x01bf	frontpiece
0x01c0	frontpiecevarindex
0x01c1	frontshieldanglecos
0x01c2	fusetime
0x01c3	game_extrainfo
0x01c4	generatenavmesh
0x01c5	glass_destroyed
0x01c6	glowalpha
0x01c7	glowcolor
0x01c8	goal
0x01c9	goal_changed
0x01ca	goal_reached
0x01cb	goal_yaw
0x01cc	goalheight
0x01cd	goalnode
0x01ce	goalpos
0x01cf	goalradius
0x01d0	gravity
0x01d1	grenade
0x01d2	grenade_fire
0x01d3	grenade_pullback
0x01d4	grenadeammo
0x01d5	grenadeawareness
0x01d6	grenadedanger
0x01d7	grenadereturnthrowchance
0x01d8	grenadeweapon
0x01d9	groundEntChanged
0x01da	groundtype
0x01db	gun_ads
0x01dc	gun_silencer
0x01dd	gunblockedbywall
0x01de	gundiscipline
0x01df	gunposeoverride
0x01e0	gunposeoverride_internal
0x01e1	gunshot
0x01e2	gunshot_teammate
0x01e3	hasalternate
0x01e4	hasradar
0x01e5	headindex
0x01e6	health
0x01e7	heavyweapons
0x01e8	height
0x01e9	hidein3rdperson
0x01ea	hidewhendead
0x01eb	hidewhenindemo
0x01ec	hidewheninmenu
0x01ed	high_priority
0x01ee	highlyawareradius
0x01ef	highpriorityweapon
0x01f0	hindlegstraceoffset
0x01f1	hintstring
0x01f2	hit_by_missile
0x01f3	horzalign
0x01f4	host_sucks_end_game
0x01f5	human
0x01f6	ignoreall
0x01f7	ignoreclosefoliage
0x01f8	ignoreexplosionevents
0x01f9	ignoreforfixednodesafecheck
0x01fa	ignoreme
0x01fb	ignoreplayersuppressionlines
0x01fc	ignorerandombulletdamage
0x01fd	ignoresuppression
0x01fe	ignoretriggers
0x01ff	index
0x0200	infinite_energy
0x0201	info_notnull
0x0202	info_player_start
0x0203	init
0x0204	initstructs
0x0205	insolid
0x0206	intensity
0x0207	interactable
0x0208	interactive
0x0209	intermission
0x020a	interval
0x020b	intightquarters
0x020c	inventorytype
0x020d	invisible
0x020e	ironsight_off
0x020f	ironsight_on
0x0210	isalternate
0x0211	isauto
0x0212	isbeam
0x0213	isbolt
0x0214	ismelee
0x0215	isradarblocked
0x0216	issemiauto
0x0217	issuspendedvehicle
0x0218	item
0x0219	iteminventory
0x021a	j_eyeball_le
0x021b	j_eyeball_ri
0x021c	j_head
0x021d	j_left_elbow
0x021e	j_left_hand
0x021f	j_left_shoulder
0x0220	j_mainroot
0x0221	j_neck
0x0222	j_spine4
0x0223	j_spinelower
0x0224	j_spineupper
0x0225	jumpcost
0x0226	jumping
0x0227	keepclaimednode
0x0228	keepclaimednodeifvalid
0x0229	keepnodeduringscriptedanim
0x022a	key1
0x022b	key2
0x022c	killanimscript
0x022d	killcamentity
0x022e	killcamentitylookat
0x022f	kills
0x0230	known_event
0x0231	label
0x0232	ladder_down
0x0233	ladder_up
0x0234	land
0x0235	lastattacker
0x0236	lastenemysightpos
0x0237	laststand
0x0238	ledge
0x0239	left
0x023a	leftaimlimit
0x023b	leftarc
0x023c	lerpduration
0x023d	light
0x023e	lightmap
0x023f	lmaplookup
0x0240	lockorientation
0x0241	lod
0x0242	look
0x0243	lookahead
0x0244	lookaheaddir
0x0245	lookaheaddist
0x0246	lookforward
0x0247	lookposition
0x0248	lookright
0x0249	looktarget
0x024a	lookup
0x024b	low_priority
0x024c	lowresbackground
0x024d	lui_notify_callback
0x024e	luinotifyserver
0x024f	mag_eject
0x0250	mag_eject_left
0x0251	magazine
0x0252	magazinevarindex
0x0253	main
0x0254	makecorpse
0x0255	manual
0x0256	manual_ai
0x0257	manual_change
0x0258	mapentlookup
0x0259	material
0x025a	max_time
0x025b	maxammo
0x025c	maxdamage
0x025d	maxfaceenemydist
0x025e	maxfaceenemydistslow
0x025f	maxfacenewenemydist
0x0260	maxhealth
0x0261	maxrange
0x0262	maxrunngunangle
0x0263	maxsightdistsqrd
0x0264	maxvisibledist
0x0265	meleeattackdist
0x0266	meleechargedist
0x0267	meleechargedistvsplayer
0x0268	meleemaxzdiff
0x0269	meleerequested
0x026a	meleerequestedcharge
0x026b	meleeweapons
0x026c	menuresponse
0x026d	middle_left
0x026e	middle_right
0x026f	min_energy
0x0270	min_time
0x0271	mincornerspeedscalingmultiplier
0x0272	mindamage
0x0273	minpaindamage
0x0274	minusedistsq
0x0275	missile_fire
0x0276	missile_stuck
0x0277	mod_crush
0x0278	mod_explosive
0x0279	mod_explosive_bullet
0x027a	mod_falling
0x027b	mod_fire
0x027c	mod_fire_bullet
0x027d	mod_grenade
0x027e	mod_grenade_splash
0x027f	mod_head_shot
0x0280	mod_impact
0x0281	mod_melee
0x0282	mod_melee_alien
0x0283	mod_melee_dog
0x0284	mod_pistol_bullet
0x0285	mod_projectile
0x0286	mod_projectile_splash
0x0287	mod_rifle_bullet
0x0288	mod_suicide
0x0289	mod_trigger_hurt
0x028a	mod_unknown
0x028b	model
0x028c	modelname
0x028d	modifier
0x028e	modifiervarindex
0x028f	movedelta
0x0290	movedone
0x0291	movemode
0x0292	movetype
0x0293	muzzle
0x0294	muzzlevarindex
0x0295	name
0x0296	navvolume_ignoreglass
0x0297	navvolume_worldonly
0x0298	near_goal
0x0299	nearz
0x029a	neutral
0x029b	neutralsenses
0x029c	never
0x029d	newenemyreaction
0x029e	newenemyreactiondistsq
0x029f	newenemyreactiontime
0x02a0	nextlookforcovertime
0x02a1	night_vision_off
0x02a2	night_vision_on
0x02a3	no_cover
0x02a4	no_gravity
0x02a5	noattackeraccuracymod
0x02a6	noclip
0x02a7	node
0x02a8	node_bad
0x02a9	node_out_of_range
0x02aa	node_relinquished
0x02ab	nododgemove
0x02ac	nogravity
0x02ad	nogrenadereturnthrow
0x02ae	noncombat
0x02af	none
0x02b0	nophysics
0x02b1	normal
0x02b2	normal_radar
0x02b3	northyaw
0x02b4	notarget
0x02b5	notinsolid
0x02b6	obstacle
0x02b7	offhand
0x02b8	offhand_end
0x02b9	offhandinventory
0x02ba	offhandweapon
0x02bb	offsetx
0x02bc	offsety
0x02bd	ondeactivate
0x02be	onenterstate
0x02bf	only_sky
0x02c0	onlygoodnearestnodes
0x02c1	onlytakedamagefromplayer
0x02c2	oriented
0x02c3	orientto_complete
0x02c4	origin
0x02c5	origin_offset
0x02c6	other
0x02c7	others
0x02c8	othervarindices
0x02c9	over
0x02ca	override
0x02cb	overridevarindex
0x02cc	owner
0x02cd	pacifist
0x02ce	pacifistwait
0x02cf	pain
0x02d0	parentangles
0x02d1	parentindex
0x02d2	parentname
0x02d3	parentpos
0x02d4	partname
0x02d5	path_blocked
0x02d6	path_changed
0x02d7	path_dir_change
0x02d8	path_enemy
0x02d9	path_need_dodge
0x02da	path_set
0x02db	pathenemyfightdist
0x02dc	pathenemylookahead
0x02dd	pathgoalpos
0x02de	pathpending
0x02df	pathrandompercent
0x02e0	pathsmoothmultiplier
0x02e1	pc
0x02e2	pelvis
0x02e3	pers
0x02e4	physics_finished
0x02e5	pickup
0x02e6	pistol
0x02e7	pitchconvergencetime
0x02e8	plane_waypoint
0x02e9	player
0x02ea	playerSpread
0x02eb	player_pushed
0x02ec	playercardbackground
0x02ed	playercardpatch
0x02ee	playercardpatchbacking
0x02ef	playercontrol
0x02f0	playing
0x02f1	point
0x02f2	position
0x02f3	postsharpturnlookaheaddist
0x02f4	precache
0x02f5	predicted_projectile_impact
0x02f6	predictedfacemotion
0x02f7	preferreddrop
0x02f8	prevanimdelta
0x02f9	prevcovernode
0x02fa	previous
0x02fb	prevnode
0x02fc	prevscript
0x02fd	primary
0x02fe	primaryinventory
0x02ff	primaryoffhand
0x0300	primaryweapon
0x0301	primaryweapons
0x0302	projectile_impact
0x0303	projectile_ping
0x0304	prone
0x0305	proneok
0x0306	providecoveringfire
0x0307	ps4
0x0308	psoffsettime
0x0309	pushable
0x030a	radarmode
0x030b	radarshowenemydirection
0x030c	radarstrength
0x030d	radius
0x030e	ragdoll_early_result
0x030f	reached_end_node
0x0310	reached_wait_node
0x0311	reached_wait_speed
0x0312	reacquiresteptime
0x0313	readonly
0x0314	reargrip
0x0315	reargripvarindex
0x0316	receiver
0x0317	receivervarindex
0x0318	reflection_clear_color
0x0319	relativedir
0x031a	reload
0x031b	reload_start
0x031c	remainexposedendtime
0x031d	rendertotexture
0x031e	repeatcoverfindiffailed
0x031f	requestarrivalnotify
0x0320	requestdifferentcover
0x0321	requestedgoalpos
0x0322	result
0x0323	reticle
0x0324	return_pitch
0x0325	reverse
0x0326	right
0x0327	rightaimlimit
0x0328	rightarc
0x0329	rigindex
0x032a	riotshield_damaged
0x032b	rocket
0x032c	rocketammo
0x032d	rotatedone
0x032e	rotation
0x032f	run
0x0330	runcost
0x0331	runngun
0x0332	runnguntime
0x0333	runpassthroughtype
0x0334	runto_arrived
0x0335	safetochangescript
0x0336	scalex
0x0337	scaley
0x0338	scavenger
0x0339	scavengerinventory
0x033a	scope
0x033b	scope_ads
0x033c	scope_cap
0x033d	scope_center
0x033e	scope_top
0x033f	scopevarindex
0x0340	score
0x0341	script
0x0342	script_brushmodel
0x0343	script_damage
0x0344	script_delay
0x0345	script_delete
0x0346	script_earthquake
0x0347	script_envonly
0x0348	script_exploder
0x0349	script_linkname
0x034a	script_linkto
0x034b	script_model
0x034c	script_noteworthy
0x034d	script_origin
0x034e	script_parent
0x034f	script_parentname
0x0350	script_pushable
0x0351	script_radius
0x0352	script_rumble
0x0353	script_trace
0x0354	script_vehicle
0x0355	script_vehicle_collision
0x0356	script_vehicle_collmap
0x0357	script_vehicle_corpse
0x0358	script_visionset
0x0359	script_zone
0x035a	scriptable
0x035b	scriptable_initialize
0x035c	scriptable_notify_callback
0x035d	scriptable_touched
0x035e	scriptable_post_initialize
0x035f	scriptable_used
0x0360	scriptbundlename
0x0361	scriptedarrivalent
0x0362	scriptgoalpos
0x0363	search_end
0x0364	secondaryoffhand
0x0365	secondaryweapon
0x0366	sentry
0x0367	sentry_offline
0x0368	sessionstate
0x0369	sessionteam
0x036a	shapeindex
0x036b	sharpturnforceusevelocity
0x036c	sharpturnlookaheaddist
0x036d	sharpturnnotifydist
0x036e	sharpturntooclosetodestdist
0x036f	shoot_firstshot
0x0370	shootparams_bconvergeontarget
0x0371	shootparams_burstcount
0x0372	shootparams_buseentinshootcalc
0x0373	shootparams_ent
0x0374	shootparams_fastburst
0x0375	shootparams_numburstsleft
0x0376	shootparams_objective
0x0377	shootparams_pos
0x0378	shootparams_readid
0x0379	shootparams_shotsperburst
0x037a	shootparams_starttime
0x037b	shootparams_style
0x037c	shootparams_taskid
0x037d	shootparams_valid
0x037e	shootparams_writeid
0x037f	shootstyleoverride
0x0380	shouldinitiallyattackfromexposed
0x0381	showinkillcam
0x0382	shufflenode
0x0383	sidearm
0x0384	sightlatency
0x0385	silenced_shot
0x0386	slidevelocity
0x0387	slowmo_active
0x0388	slowmo_passive
0x0389	smartfacingpos
0x038a	smoke
0x038b	snd_channelvolprio_holdbreath
0x038c	snd_channelvolprio_pain
0x038d	snd_channelvolprio_shellshock
0x038e	snd_enveffectsprio_level
0x038f	snd_enveffectsprio_shellshock
0x0390	sort
0x0391	sound_blend
0x0392	sound_transient_soundbanks
0x0393	space
0x0394	spaceship_accel
0x0395	spaceship_boosting
0x0396	spaceship_mode
0x0397	spaceship_rotaccel
0x0398	spaceship_rotvel
0x0399	spaceship_vel
0x039a	spawned
0x039b	spawner
0x039c	spawnflags
0x039d	spectatekillcam
0x039e	spectating_cycle
0x039f	spectator
0x03a0	speed
0x03a1	speedscalemult
0x03a2	splatter
0x03a3	splinenode_angles
0x03a4	splinenode_corridor_height
0x03a5	splinenode_corridor_width
0x03a6	splinenode_label
0x03a7	splinenode_speed
0x03a8	splinenode_string
0x03a9	splinenode_tension
0x03aa	splinenode_throttle
0x03ab	splittime
0x03ac	sprint_begin
0x03ad	sprint_end
0x03ae	squadmovementallowed
0x03af	squadnumber
0x03b0	squareaspectratio
0x03b1	stairsstate
0x03b2	stand
0x03b3	start_blend
0x03b4	start_move
0x03b5	start_ragdoll
0x03b6	startammo
0x03b7	startpos
0x03b8	statelocked
0x03b9	statusicon
0x03ba	stealth
0x03bb	stickerslot0
0x03bc	stickerslot1
0x03bd	stickerslot2
0x03be	stickerslot3
0x03bf	stop
0x03c0	stop_soon
0x03c1	stopanim
0x03c2	stopanimdistsq
0x03c3	stopsoonnotifydist
0x03c4	subpartname
0x03c5	subpartstate
0x03c6	suncolor
0x03c7	sundirection
0x03c8	sunlight
0x03c9	superMeterProgress
0x03ca	suppression
0x03cb	suppressionTime
0x03cc	suppression_end
0x03cd	suppressiondecrement
0x03ce	suppressionduration
0x03cf	suppressionmeter
0x03d0	suppressionstarttime
0x03d1	suppressionwait
0x03d2	surfacetype
0x03d3	surprisedbymedistsq
0x03d4	suspendvehicle
0x03d5	swimmer
0x03d6	syncedmeleetarget
0x03d7	tag
0x03d8	tag_aim
0x03d9	tag_aim_animated
0x03da	tag_aim_pivot
0x03db	tag_barrel
0x03dc	tag_blade_off
0x03dd	tag_body
0x03de	tag_brass
0x03df	tag_butt
0x03e0	tag_cambone
0x03e1	tag_camera
0x03e2	tag_charge_fx01
0x03e3	tag_charge_fx02
0x03e4	tag_charge_fx03
0x03e5	tag_charge_fx04
0x03e6	tag_charge_fx05
0x03e7	tag_charge_fx06
0x03e8	tag_charge_fx07
0x03e9	tag_charge_fx08
0x03ea	tag_charge_fx09
0x03eb	tag_charge_fx10
0x03ec	tag_charge_fx11
0x03ed	tag_charge_fx12
0x03ee	tag_charge_fx13
0x03ef	tag_charge_fx14
0x03f0	tag_charge_fx15
0x03f1	tag_charge_fx16
0x03f2	tag_clip
0x03f3	tag_detach
0x03f4	tag_engine_left
0x03f5	tag_engine_right
0x03f6	tag_eotech_reticle
0x03f7	tag_eye
0x03f8	tag_flash
0x03f9	tag_flash_2
0x03fa	tag_flash_silenced
0x03fb	tag_fx
0x03fc	tag_gasmask
0x03fd	tag_gasmask2
0x03fe	tag_glass_ads
0x03ff	tag_glass_ads2
0x0400	tag_glass_hip
0x0401	tag_glass_hip2
0x0402	tag_ik_loc_le
0x0403	tag_ik_loc_le_foregrip
0x0404	tag_ik_loc_le_launcher
0x0405	tag_ik_loc_le_shotgun
0x0406	tag_inhand
0x0407	tag_knife_fx
0x0408	tag_laser
0x0409	tag_launcher
0x040a	tag_magnifier_eotech_reticle
0x040b	tag_motion_tracker_bl
0x040c	tag_motion_tracker_br
0x040d	tag_motion_tracker_fx
0x040e	tag_motion_tracker_tl
0x040f	tag_origin
0x0410	tag_player
0x0411	tag_popout
0x0412	tag_reticle_acog
0x0413	tag_reticle_hamr
0x0414	tag_reticle_on
0x0415	tag_reticle_red_dot
0x0416	tag_reticle_reflex
0x0417	tag_reticle_tavor_scope
0x0418	tag_reticle_thermal_scope
0x0419	tag_shield_back
0x041a	tag_shotgun
0x041b	tag_show_alt
0x041c	tag_stowed_back
0x041d	tag_stowed_hip_rear
0x041e	tag_sync
0x041f	tag_turret
0x0420	tag_turret_base
0x0421	tag_weapon
0x0422	tag_weapon_chest
0x0423	tag_weapon_left
0x0424	tag_weapon_right
0x0425	tag_wheel_back_left
0x0426	tag_wheel_back_right
0x0427	tag_wheel_front_left
0x0428	tag_wheel_front_right
0x0429	tag_wheel_middle_left
0x042a	tag_wheel_middle_right
0x042b	tagname
0x042c	takedamage
0x042d	target
0x042e	target_script_trigger
0x042f	targetname
0x0430	team
0x0431	team3
0x0432	teammode_axisallies
0x0433	teammode_ffa
0x0434	teammovewaittime
0x0435	thermal
0x0436	thermalbodymaterial
0x0437	third_person
0x0438	threatbias
0x0439	threatbiasgroup
0x043a	threatsight
0x043b	threatsightdistmax
0x043c	threatsightdistmin
0x043d	threatsightratemax
0x043e	threatsightratemin
0x043f	threshold
0x0440	throwbackweapon
0x0441	throwingknife
0x0442	timemodified
0x0443	top
0x0444	toparc
0x0445	totalscore
0x0446	touch
0x0447	touching_platform
0x0448	trackmoverup
0x0449	transient_entity
0x044a	transients_synced
0x044b	traverse_complete
0x044c	traverse_soon
0x044d	traversecost
0x044e	traversesoonnotifydist
0x044f	trigger
0x0450	trigger_damage
0x0451	trigger_use
0x0452	trigger_use_touch
0x0453	triggervarindex
0x0454	truck_cam
0x0455	turningpoint
0x0456	turnrate
0x0457	turnthreshold
0x0458	turret_deactivate
0x0459	turret_fire
0x045a	turret_no_vis
0x045b	turret_not_on_target
0x045c	turret_on_target
0x045d	turret_on_vistarget
0x045e	turret_pitch_clamped
0x045f	turret_rotate_stopped
0x0460	turret_yaw_clamped
0x0461	turretinvulnerability
0x0462	turretownerchange
0x0463	turretstatechange
0x0464	type
0x0465	underbarrel
0x0466	underbarrelvarindex
0x0467	unittype
0x0468	unresolved_collision
0x0469	unsafe
